word,pictogram_id,synset,word_senses
abandonado,37580,07222800-n,abandonado%1:00:00::
abandonado,,00778435-a,abandonado%3:00:00::
abandonado,,00780806-a,abandonado%3:00:00::
abandonado,,00964790-a,abandonado%3:00:00::
abandonado,,01338810-a,abandonado%3:00:00::
abandonar,21328,00263528-v,abandonar%2:00:00::
abandonar,,00264015-v,abandonar%2:00:00::
abandonar,,00351165-v,abandonar%2:00:00::
abandonar,,00383716-v,abandonar%2:00:00::
abandonar,,00418156-v,abandonar%2:00:00::
abandonar,,00418267-v,abandonar%2:00:00::
abandonar,,00418402-v,abandonar%2:00:00::
abandonar,,00510392-v,abandonar%2:00:00::
abandonar,,00524474-v,abandonar%2:00:00::
abandonar,,00725661-v,abandonar%2:00:00::
abandonar,,00746426-v,abandonar%2:00:00::
abandonar,,00747941-v,abandonar%2:00:00::
abandonar,,00803090-v,abandonar%2:00:00::
abandonar,,01223181-v,abandonar%2:00:00::
abandonar,,01420208-v,abandonar%2:00:00::
abandonar,,01515193-v,abandonar%2:00:00::
abandonar,,01518219-v,abandonar%2:00:00::
abandonar,,01518311-v,abandonar%2:00:00::
abandonar,,01519038-v,abandonar%2:00:00::
abandonar,,01562554-v,abandonar%2:00:00::
abandonar,,01621526-v,abandonar%2:00:00::
abandonar,,01719062-v,abandonar%2:00:00::
abandonar,,01723055-v,abandonar%2:00:00::
abandonar,,01753926-v,abandonar%2:00:00::
abandonar_el_trabajo,21328,01639522-v,abandonar_el_trabajo%2:00:00::
abandonarse_a_algo,,01707115-v,abandonarse_a_algo%2:00:00::
abandono,,00044384-n,abandono%1:00:00::
abandono,,00067128-n,abandono%1:00:00::
abandono,,00135605-n,abandono%1:00:00::
abandono,,00136341-n,abandono%1:00:00::
abandono,,00141103-n,abandono%1:00:00::
abandono,,00482944-n,abandono%1:00:00::
abandono,,03122214-n,abandono%1:00:00::
abandono,,03304237-n,abandono%1:00:00::
abandono,,04998164-n,abandono%1:00:00::
abandono_de_proceso,,04312406-n,abandono_de_proceso%1:00:00::
abanicar,8480,01287663-v,abanicar%2:00:00::
abanico,6871,02285186-n,abanico%1:00:00::
abanico_aluvial,6871,07556795-n,abanico_aluvial%1:00:00::
abaratar,,00148477-v,abaratar%2:00:00::
abaratar,,01601068-v,abaratar%2:00:00::
abarcadura,,00232336-n,abarcadura%1:00:00::
abarcamiento,,00232336-n,abarcamiento%1:00:00::
abarcar,,01717296-v,abarcar%2:00:00::
abarcar,,01783844-v,abarcar%2:00:00::
abarcar,,01821061-v,abarcar%2:00:00::
abarraganamiento,,00684129-n,abarraganamiento%1:00:00::
abarrancarse,,01252351-v,abarrancarse%2:00:00::
abarrotado,,00334196-a,abarrotado%3:00:00::
abarrotado,,00643308-a,abarrotado%3:00:00::
